date,mobility_overall,mobility_limited-service_restaurants,mobility_religious_organizations,mobility_department_stores,mobility_fitness_centers,mobility_grocery_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,6181286.4,403082.4,267692.5,169395.1,374665.2,366545.1,92785.9,989543.4,,,
2020/03/02,6247588.7,392862.9,106945.8,103798.6,410167.7,288058.7,105259.8,772567.5,,,
2020/03/03,6112594.8,374201.7,100441.3,95724.5,390435.6,265129.9,105683.9,762528.2,,,
2020/03/04,5813365.5,363455.0,98442.5,90570.7,373427.4,240591.8,95483.8,736357.1,,,
2020/03/05,6228418.0,388982.6,101309.5,94424.6,388380.6,259597.8,103554.9,805553.5,,,
2020/03/06,6775012.8,457101.8,109417.3,117930.2,388607.3,284881.3,109252.0,991028.6,,,
2020/03/07,7170637.1,505362.2,143110.1,189033.4,457642.1,344387.6,106667.7,1181057.9,,,
2020/03/08,5898856.9,386214.5,267692.5,152893.2,333128.5,354783.3,92785.9,936175.0,2.9,1.3,6.1
2020/03/09,5744138.9,340033.9,106945.8,85696.6,368435.4,268214.4,105259.8,699732.9,62.6,42.3,117.8
2020/03/10,5898242.3,350855.7,100441.3,93698.9,371418.2,263182.9,105683.9,733132.0,115.9,79.2,213.9
2020/03/11,5817872.4,348720.1,98442.5,93924.5,363262.6,266762.8,95483.8,735332.3,169.1,116.8,310.1
2020/03/12,6054971.8,357877.2,101309.5,113821.4,347853.5,342845.5,103554.9,765374.4,225.1,156.7,410.5
2020/03/13,7086727.0,447359.6,109417.3,145756.8,355983.5,504874.4,109252.0,968387.0,289.1,203.0,520.0
2020/03/14,5468642.6,355164.5,143110.1,150532.8,299322.2,443966.9,106667.7,896788.8,366.9,252.5,654.2
2020/03/15,4687875.5,282859.3,267692.5,129265.2,225177.8,419900.1,92785.9,702868.1,464.4,313.7,814.7
2020/03/16,4550160.5,278838.4,106945.8,91395.3,237826.0,394241.3,105259.8,558119.6,583.3,393.2,1000.2
