date,mobility_overall,mobility_full-service_restaurants,mobility_fitness_centers,mobility_limited-service_restaurants,mobility_religious_organizations,mobility_grocery_stores,mobility_department_stores,mobility_pharmacies,infect_overall_mean,infect_overall_2.5,infect_overall_97.5,infect_lower-income_mean,infect_lower-income_2.5,infect_lower-income_97.5,infect_higher-income_mean,infect_higher-income_2.5,infect_higher-income_97.5,infect_less-white_mean,infect_less-white_2.5,infect_less-white_97.5,infect_more-white_mean,infect_more-white_2.5,infect_more-white_97.5
2020-03-01,10000,50000,1000,10000,1000,1000,1000,1500,5.2,2.7,7.3,8.3,6.1,10.5,3.9,3,4.8,7.8,6.7,8.8,4.3,3.8,5.1
2020-03-02,9000,45000,900,9000,900,900,900,1350,6.24,3.24,8.76,9.96,7.32,12.6,4.68,3.6,5.76,9.36,8.04,10.56,5.16,4.56,6.12
2020-03-03,8100,40500,810,8100,810,810,810,1215,7.488,3.888,10.512,11.952,8.784,15.12,5.616,4.32,6.912,11.232,9.648,12.672,6.192,5.472,7.344
2020-03-04,7290,36450,729,7290,729,729,729,1093.5,8.9856,4.6656,12.6144,14.3424,10.5408,18.144,6.7392,5.184,8.2944,13.4784,11.5776,15.2064,7.4304,6.5664,8.8128
2020-03-05,6561,32805,656.1,6561,656.1,656.1,656.1,984.15,10.78272,5.59872,15.13728,17.21088,12.64896,21.7728,8.08704,6.2208,9.95328,16.17408,13.89312,18.24768,8.91648,7.87968,10.57536
2020-03-06,5904.9,29524.5,590.49,5904.9,590.49,590.49,590.49,885.735,12.939264,6.718464,18.164736,20.653056,15.178752,26.12736,9.704448,7.46496,11.943936,19.408896,16.671744,21.897216,10.699776,9.455616,12.690432
2020-03-07,5314.41,26572.05,531.441,5314.41,531.441,531.441,531.441,797.1615,15.5271168,8.0621568,21.7976832,24.7836672,18.2145024,31.352832,11.6453376,8.957952,14.3327232,23.2906752,20.0060928,26.2766592,12.8397312,11.3467392,15.2285184
2020-03-08,4782.969,23914.845,478.2969,4782.969,478.2969,478.2969,478.2969,717.44535,18.63254016,9.67458816,26.15721984,29.74040064,21.85740288,37.6233984,13.97440512,10.7495424,17.19926784,27.94881024,24.00731136,31.53199104,15.40767744,13.61608704,18.27422208
2020-03-09,4304.6721,21523.3605,430.46721,4304.6721,430.46721,430.46721,430.46721,645.700815,22.35904819,11.60950579,31.38866381,35.68848077,26.22888346,45.14807808,16.76928614,12.89945088,20.63912141,33.53857229,28.80877363,37.83838925,18.48921293,16.33930445,21.9290665
2020-03-10,3874.20489,19371.02445,387.420489,3874.20489,387.420489,387.420489,387.420489,581.1307335,26.83085783,13.93140695,37.66639657,42.82617692,31.47466015,54.1776937,20.12314337,15.47934106,24.76694569,40.24628675,34.57052836,45.4060671,22.18705551,19.60716534,26.3148798
2020-03-11,3486.784401,17433.92201,348.6784401,3486.784401,348.6784401,348.6784401,348.6784401,523.0176602,32.1970294,16.71768834,45.19967588,51.39141231,37.76959218,65.01323244,24.14777205,18.57520927,29.72033483,48.29554409,41.48463403,54.48728052,26.62446662,23.52859841,31.57785575
2020-03-12,3138.105961,15690.5298,313.8105961,3138.105961,313.8105961,313.8105961,313.8105961,470.7158941,38.63643528,20.06122601,54.23961106,61.66969477,45.32351061,78.01587892,28.97732646,22.29025112,35.66440179,57.95465291,49.78156084,65.38473662,31.94935994,28.23431809,37.89342691
2020-03-13,2824.295365,14121.47682,282.4295365,2824.295365,282.4295365,282.4295365,282.4295365,423.6443047,46.36372233,24.07347121,65.08753327,74.00363372,54.38821273,93.61905471,34.77279175,26.74830134,42.79728215,69.5455835,59.737873,78.46168394,38.33923193,33.8811817,45.47211229
2020-03-14,2541.865828,12709.32914,254.1865828,2541.865828,254.1865828,254.1865828,254.1865828,381.2798742,55.6364668,28.88816545,78.10503993,88.80436046,65.26585528,112.3428656,41.7273501,32.09796161,51.35673858,83.4547002,71.6854476,94.15402073,46.00707831,40.65741804,54.56653474
2020-03-15,2287.679245,11438.39623,228.7679245,2287.679245,228.7679245,228.7679245,228.7679245,343.1518868,66.76376016,34.66579854,93.72604791,106.5652326,78.31902634,134.8114388,50.07282012,38.51755394,61.6280863,100.1456402,86.02253712,112.9848249,55.20849398,48.78890165,65.47984169
